Control_Count,Case_Count,Total,Case_Frequency,Control_Frequency,P_Value,Gene
0,5,5,1.0,0.0,0.0012510350833538134,
0,5,5,1.0,0.0,0.0012510350833538134,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,4,4,1.0,0.0,0.00476289479307477,
0,4,4,1.0,0.0,0.00476289479307477,
0,3,3,1.0,0.0,0.01813196142332478,
0,5,5,1.0,0.0,0.0012510350833538134,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,4,4,1.0,0.0,0.00476289479307477,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,4,4,1.0,0.0,0.00476289479307477,
0,3,3,1.0,0.0,0.01813196142332478,
0,5,5,1.0,0.0,0.0012510350833538134,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,4,4,1.0,0.0,0.00476289479307477,
0,4,4,1.0,0.0,0.00476289479307477,
0,4,4,1.0,0.0,0.00476289479307477,
0,3,3,1.0,0.0,0.01813196142332478,
0,4,4,1.0,0.0,0.00476289479307477,
0,5,5,1.0,0.0,0.0012510350833538134,
0,5,5,1.0,0.0,0.0012510350833538134,
0,4,4,1.0,0.0,0.00476289479307477,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,6,6,1.0,0.0,0.0003285793640277093,
0,4,4,1.0,0.0,0.00476289479307477,
0,4,4,1.0,0.0,0.00476289479307477,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,4,4,1.0,0.0,0.00476289479307477,
0,5,5,1.0,0.0,0.0012510350833538134,
0,9,9,1.0,0.0,5.950951532306183e-06,
0,12,12,1.0,0.0,1.0771671242876248e-07,
0,4,4,1.0,0.0,0.00476289479307477,
0,3,3,1.0,0.0,0.01813196142332478,
0,16,16,1.0,0.0,5.11474298527424e-10,
0,3,3,1.0,0.0,0.01813196142332478,
0,4,4,1.0,0.0,0.00476289479307477,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,4,4,1.0,0.0,0.00476289479307477,
0,3,3,1.0,0.0,0.01813196142332478,
0,4,4,1.0,0.0,0.00476289479307477,
0,7,7,1.0,0.0,8.629455084804538e-05,
0,3,3,1.0,0.0,0.01813196142332478,
0,5,5,1.0,0.0,0.0012510350833538134,
0,4,4,1.0,0.0,0.00476289479307477,
0,4,4,1.0,0.0,0.00476289479307477,
0,3,3,1.0,0.0,0.01813196142332478,
0,4,4,1.0,0.0,0.00476289479307477,
0,4,4,1.0,0.0,0.00476289479307477,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,5,5,1.0,0.0,0.0012510350833538134,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,5,5,1.0,0.0,0.0012510350833538134,
0,4,4,1.0,0.0,0.00476289479307477,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,4,4,1.0,0.0,0.00476289479307477,
0,5,5,1.0,0.0,0.0012510350833538134,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,4,4,1.0,0.0,0.00476289479307477,
0,5,5,1.0,0.0,0.0012510350833538134,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,7,7,1.0,0.0,8.629455084804538e-05,
0,4,4,1.0,0.0,0.00476289479307477,
0,4,4,1.0,0.0,0.00476289479307477,
0,7,7,1.0,0.0,8.629455084804538e-05,
0,5,5,1.0,0.0,0.0012510350833538134,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,5,5,1.0,0.0,0.0012510350833538134,
0,5,5,1.0,0.0,0.0012510350833538134,
0,7,7,1.0,0.0,8.629455084804538e-05,
0,4,4,1.0,0.0,0.00476289479307477,
0,6,6,1.0,0.0,0.0003285793640277093,
0,8,8,1.0,0.0,2.2662026852104644e-05,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,7,7,1.0,0.0,8.629455084804538e-05,
0,4,4,1.0,0.0,0.00476289479307477,
0,4,4,1.0,0.0,0.00476289479307477,
0,5,5,1.0,0.0,0.0012510350833538134,
0,20,20,1.0,0.0,2.4261672265377194e-12,
0,4,4,1.0,0.0,0.00476289479307477,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,4,4,1.0,0.0,0.00476289479307477,
0,3,3,1.0,0.0,0.01813196142332478,
0,4,4,1.0,0.0,0.00476289479307477,
0,7,7,1.0,0.0,8.629455084804538e-05,
0,4,4,1.0,0.0,0.00476289479307477,
0,3,3,1.0,0.0,0.01813196142332478,
0,4,4,1.0,0.0,0.00476289479307477,
0,5,5,1.0,0.0,0.0012510350833538134,
0,5,5,1.0,0.0,0.0012510350833538134,
0,4,4,1.0,0.0,0.00476289479307477,
0,35,35,1.0,0.0,4.6379726098565045e-21,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,4,4,1.0,0.0,0.00476289479307477,
0,8,8,1.0,0.0,2.2662026852104644e-05,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,5,5,1.0,0.0,0.0012510350833538134,
0,4,4,1.0,0.0,0.00476289479307477,
0,5,5,1.0,0.0,0.0012510350833538134,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,4,4,1.0,0.0,0.00476289479307477,
0,3,3,1.0,0.0,0.01813196142332478,
0,5,5,1.0,0.0,0.0012510350833538134,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,4,4,1.0,0.0,0.00476289479307477,
0,9,9,1.0,0.0,5.950951532306183e-06,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,7,7,1.0,0.0,8.629455084804538e-05,
0,3,3,1.0,0.0,0.01813196142332478,
0,5,5,1.0,0.0,0.0012510350833538134,
0,6,6,1.0,0.0,0.0003285793640277093,
0,4,4,1.0,0.0,0.00476289479307477,
0,5,5,1.0,0.0,0.0012510350833538134,
0,5,5,1.0,0.0,0.0012510350833538134,
0,3,3,1.0,0.0,0.01813196142332478,
0,4,4,1.0,0.0,0.00476289479307477,
0,3,3,1.0,0.0,0.01813196142332478,
0,4,4,1.0,0.0,0.00476289479307477,
0,4,4,1.0,0.0,0.00476289479307477,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,5,5,1.0,0.0,0.0012510350833538134,
0,4,4,1.0,0.0,0.00476289479307477,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,6,6,1.0,0.0,0.0003285793640277093,
0,5,5,1.0,0.0,0.0012510350833538134,
0,4,4,1.0,0.0,0.00476289479307477,
0,3,3,1.0,0.0,0.01813196142332478,
0,4,4,1.0,0.0,0.00476289479307477,
0,6,6,1.0,0.0,0.0003285793640277093,
0,4,4,1.0,0.0,0.00476289479307477,
0,71,71,1.0,0.0,5.201995069027862e-42,
0,3,3,1.0,0.0,0.01813196142332478,
0,4,4,1.0,0.0,0.00476289479307477,
0,4,4,1.0,0.0,0.00476289479307477,
0,3,3,1.0,0.0,0.01813196142332478,
0,15,15,1.0,0.0,1.9486338100114775e-09,
0,3,3,1.0,0.0,0.01813196142332478,
0,4,4,1.0,0.0,0.00476289479307477,
0,5,5,1.0,0.0,0.0012510350833538134,
0,4,4,1.0,0.0,0.00476289479307477,
0,5,5,1.0,0.0,0.0012510350833538134,
0,3,3,1.0,0.0,0.01813196142332478,
0,4,4,1.0,0.0,0.00476289479307477,
0,5,5,1.0,0.0,0.0012510350833538134,
0,3,3,1.0,0.0,0.01813196142332478,
0,6,6,1.0,0.0,0.0003285793640277093,
0,4,4,1.0,0.0,0.00476289479307477,
0,6,6,1.0,0.0,0.0003285793640277093,
0,4,4,1.0,0.0,0.00476289479307477,
0,3,3,1.0,0.0,0.01813196142332478,
0,4,4,1.0,0.0,0.00476289479307477,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,4,4,1.0,0.0,0.00476289479307477,
0,4,4,1.0,0.0,0.00476289479307477,
0,3,3,1.0,0.0,0.01813196142332478,
0,5,5,1.0,0.0,0.0012510350833538134,
0,4,4,1.0,0.0,0.00476289479307477,
0,4,4,1.0,0.0,0.00476289479307477,
0,5,5,1.0,0.0,0.0012510350833538134,
0,3,3,1.0,0.0,0.01813196142332478,
0,6,6,1.0,0.0,0.0003285793640277093,
0,4,4,1.0,0.0,0.00476289479307477,
0,8,8,1.0,0.0,2.2662026852104644e-05,
0,7,7,1.0,0.0,8.629455084804538e-05,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,5,5,1.0,0.0,0.0012510350833538134,
0,7,7,1.0,0.0,8.629455084804538e-05,
0,5,5,1.0,0.0,0.0012510350833538134,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,9,9,1.0,0.0,5.950951532306183e-06,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,5,5,1.0,0.0,0.0012510350833538134,
0,7,7,1.0,0.0,8.629455084804538e-05,
0,3,3,1.0,0.0,0.01813196142332478,
0,4,4,1.0,0.0,0.00476289479307477,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,5,5,1.0,0.0,0.0012510350833538134,
0,4,4,1.0,0.0,0.00476289479307477,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,5,5,1.0,0.0,0.0012510350833538134,
0,5,5,1.0,0.0,0.0012510350833538134,
0,4,4,1.0,0.0,0.00476289479307477,
0,4,4,1.0,0.0,0.00476289479307477,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,5,5,1.0,0.0,0.0012510350833538134,
0,3,3,1.0,0.0,0.01813196142332478,
0,4,4,1.0,0.0,0.00476289479307477,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,6,6,1.0,0.0,0.0003285793640277093,
0,7,7,1.0,0.0,8.629455084804538e-05,
0,3,3,1.0,0.0,0.01813196142332478,
0,4,4,1.0,0.0,0.00476289479307477,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,4,4,1.0,0.0,0.00476289479307477,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,4,4,1.0,0.0,0.00476289479307477,
0,4,4,1.0,0.0,0.00476289479307477,
0,3,3,1.0,0.0,0.01813196142332478,
0,4,4,1.0,0.0,0.00476289479307477,
0,3,3,1.0,0.0,0.01813196142332478,
0,7,7,1.0,0.0,8.629455084804538e-05,
0,6,6,1.0,0.0,0.0003285793640277093,
0,6,6,1.0,0.0,0.0003285793640277093,
0,5,5,1.0,0.0,0.0012510350833538134,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,4,4,1.0,0.0,0.00476289479307477,
0,5,5,1.0,0.0,0.0012510350833538134,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,4,4,1.0,0.0,0.00476289479307477,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,4,4,1.0,0.0,0.00476289479307477,
0,4,4,1.0,0.0,0.00476289479307477,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,5,5,1.0,0.0,0.0012510350833538134,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,5,5,1.0,0.0,0.0012510350833538134,
0,5,5,1.0,0.0,0.0012510350833538134,
0,7,7,1.0,0.0,8.629455084804538e-05,
0,3,3,1.0,0.0,0.01813196142332478,
0,4,4,1.0,0.0,0.00476289479307477,
0,5,5,1.0,0.0,0.0012510350833538134,
0,3,3,1.0,0.0,0.01813196142332478,
0,5,5,1.0,0.0,0.0012510350833538134,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,4,4,1.0,0.0,0.00476289479307477,
0,4,4,1.0,0.0,0.00476289479307477,
0,3,3,1.0,0.0,0.01813196142332478,
0,6,6,1.0,0.0,0.0003285793640277093,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,4,4,1.0,0.0,0.00476289479307477,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,5,5,1.0,0.0,0.0012510350833538134,
0,4,4,1.0,0.0,0.00476289479307477,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,5,5,1.0,0.0,0.0012510350833538134,
0,3,3,1.0,0.0,0.01813196142332478,
0,4,4,1.0,0.0,0.00476289479307477,
0,4,4,1.0,0.0,0.00476289479307477,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
0,9,9,1.0,0.0,5.950951532306183e-06,
0,4,4,1.0,0.0,0.00476289479307477,
0,4,4,1.0,0.0,0.00476289479307477,
0,4,4,1.0,0.0,0.00476289479307477,
0,3,3,1.0,0.0,0.01813196142332478,
0,3,3,1.0,0.0,0.01813196142332478,
